County,"Fast-food restaurants, 2011","Fast-food restaurants, 2016","Fast-food restaurants (% change), 2011-16","Fast-food restaurants/10,000 pop, 2011","Fast-food restaurants/10,000 pop, 2016","Fast-food restaurants/1,000 pop (% change), 2011-16"
Alameda,1090,1293,18.623853,7.11388,7.82102,9.940291
Alpine,2,0,-100.0,18.29826,0.0,-100.0
Amador,12,21,75.0,3.19668,5.60403,75.308222
Butte,147,158,7.482993,6.68173,6.97495,4.388394
Calaveras,26,30,15.384615,5.75692,6.6203199999999995,14.997581
Colusa,16,8,-50.0,7.48853,3.6959999999999997,-50.644491
Contra Costa,599,701,17.028381,5.618180000000001,6.15644,9.580732
Del Norte,15,10,-33.333333,5.272959999999999,3.6429899999999997,-30.911961
El Dorado,97,110,13.402062,5.359859999999999,5.90534,10.177258
Fresno,569,634,11.42355,6.050870000000001,6.47247,6.967445
Glenn,12,15,25.0,4.26136,5.36346,25.862624
Humboldt,95,97,2.105263,7.0245999999999995,7.108879999999999,1.199816
Imperial,81,103,27.160494,4.59817,5.69124,23.771749
Inyo,13,15,15.384615,7.06483,8.31762,17.732744
Kern,528,603,14.204545,6.220790000000001,6.812899999999999,9.518227
Kings,90,89,-1.111111,5.919879999999999,5.94137,0.36301
Lake,30,33,10.0,4.66759,5.16028,10.55559
Lassen,13,15,15.384615,3.79629,4.8474699999999995,27.689722
Los Angeles,7211,8264,14.60269,7.29415,8.14142,11.615733
Madera,75,78,4.0,4.9382399999999995,5.03336,1.926255
Marin,171,189,10.526316,6.69263,7.22665,7.979239
Mariposa,9,8,-11.111111,4.95213,4.56517,-7.814045
Mendocino,52,54,3.846154,5.9519,6.16375,3.559302
Merced,127,143,12.598425,4.89201,5.3184,8.715995
Modoc,7,3,-57.142857,7.35681,3.3553300000000004,-54.391487
Mono,18,21,16.666667,12.56194,14.89256,18.553058
Monterey,246,264,7.317073,5.84098,6.05001,3.57861
Napa,76,82,7.894737,5.51104,5.788959999999999,5.042914
Nevada,53,65,22.641509,5.36905,6.562139999999999,22.22178
Orange,2575,3025,17.475728,8.43304,9.51945,12.882804
Placer,274,334,21.89781,7.68702,8.79545,14.419435
Plumas,13,9,-30.769231,6.59363,4.79055,-27.345832
Riverside,1331,1541,15.777611,5.95289,6.4571000000000005,8.469984
Sacramento,937,1075,14.727855,6.53187,7.10387,8.757118
San Benito,26,28,7.692308,4.64004,4.7189700000000006,1.701033
San Bernardino,1346,1526,13.372957,6.52644,7.14041,9.407534
San Diego,2348,2736,16.524702,7.47826,8.24792,10.291937
San Francisco,753,958,27.224436,9.22462,10.934790000000001,18.539194
San Joaquin,401,466,16.209476,5.76919,6.34623,10.002039
San Luis Obispo,219,234,6.849315,8.07671,8.289579999999999,2.635633
San Mateo,501,593,18.363273,6.87222,7.70569,12.128123
Santa Barbara,286,344,20.27972,6.7127,7.707889999999999,14.825446
Santa Clara,1288,1544,19.875776,7.10107,7.99348,12.567269
Santa Cruz,171,175,2.339181,6.4503200000000005,6.3591,-1.414178
Shasta,133,122,-8.270677,7.48895,6.82426,-8.875624
Sierra,1,1,0.0,3.22581,3.3738200000000003,4.588394
Siskiyou,29,28,-3.448276,6.5002,6.435149999999999,-1.000698
Solano,270,290,7.407407,6.480230000000001,6.58615,1.634526
Sonoma,273,291,6.593407,5.596299999999999,5.77572,3.20604
Stanislaus,327,366,11.926606,6.31233,6.76084,7.105322
Sutter,51,59,15.686275,5.393400000000001,6.14212,13.882177
Tehama,34,33,-2.941176,5.36726,5.201440000000001,-3.08957
Trinity,12,6,-50.0,8.77385,4.67326,-46.736506
Tulare,215,264,22.790698,4.8059899999999995,5.72873,19.199716
Tuolumne,31,26,-16.129032,5.65363,4.83388,-14.499546
Ventura,553,634,14.647378,6.654710000000001,7.4492199999999995,11.938988
Yolo,138,152,10.144928,6.8289100000000005,7.0383700000000005,3.067282
Yuba,31,29,-6.451613,4.2752099999999995,3.85715,-9.778718
