Obesity; Age-Adjusted; Percentage; Adults Aged 20+ Years; California Counties; 2011
Data downloaded on 30-September-2020
County,State,CountyFIPS,Percentage,Lower Limit, Upper Limit
Alameda County,California,06001,20.2,18.4,22.0
Alpine County,California,06003,22.6,16.6,29.6
Amador County,California,06005,24.8,19.2,31.1
Butte County,California,06007,24.2,20.7,28.1
Calaveras County,California,06009,23.9,18.7,29.9
Colusa County,California,06011,22.0,16.1,28.9
Contra Costa County,California,06013,22.2,20.0,24.5
Del Norte County,California,06015,25.2,19.4,32.1
El Dorado County,California,06017,20.5,17.0,24.3
Fresno County,California,06019,28.3,25.4,31.3
Glenn County,California,06021,25.7,19.7,32.5
Humboldt County,California,06023,25.4,21.5,29.7
Imperial County,California,06025,21.9,17.0,27.7
Inyo County,California,06027,22.5,16.8,29.2
Kern County,California,06029,27.7,24.7,30.8
Kings County,California,06031,23.6,18.8,28.7
Lake County,California,06033,25.9,20.9,31.9
Lassen County,California,06035,23.8,18.8,29.7
Los Angeles County,California,06037,21.1,20.1,22.2
Madera County,California,06039,27.4,22.5,32.9
Marin County,California,06041,15.3,12.6,18.2
Mariposa County,California,06043,23.7,18.0,30.4
Mendocino County,California,06045,23.9,19.2,28.8
Merced County,California,06047,30.9,25.8,36.3
Modoc County,California,06049,23.7,17.6,31.0
Mono County,California,06051,21.2,15.5,28.2
Monterey County,California,06053,21.9,18.6,25.3
Napa County,California,06055,24.0,19.2,29.2
Nevada County,California,06057,17.3,13.8,21.5
Orange County,California,06059,20.5,19.1,22.0
Placer County,California,06061,22.3,19.2,25.6
Plumas County,California,06063,24.3,18.5,30.4
Riverside County,California,06065,25.8,23.8,27.9
Sacramento County,California,06067,26.6,24.6,28.7
San Benito County,California,06069,22.9,17.6,29.0
San Bernardino County,California,06071,27.4,25.4,29.6
San Diego County,California,06073,22.5,21.1,23.9
San Francisco County,California,06075,15.3,13.2,17.4
San Joaquin County,California,06077,30.1,27.0,33.5
San Luis Obispo County,California,06079,20.0,16.9,23.3
San Mateo County,California,06081,20.5,18.1,23.0
Santa Barbara County,California,06083,19.3,16.5,22.5
Santa Clara County,California,06085,20.2,18.5,21.8
Santa Cruz County,California,06087,21.2,17.6,25.0
Shasta County,California,06089,27.1,23.0,31.3
Sierra County,California,06091,22.5,16.2,29.7
Siskiyou County,California,06093,21.1,16.4,26.6
Solano County,California,06095,26.1,22.5,30.0
Sonoma County,California,06097,22.1,19.3,24.9
Stanislaus County,California,06099,31.9,28.3,35.5
Sutter County,California,06101,27.4,21.8,33.1
Tehama County,California,06103,26.8,21.4,32.8
Trinity County,California,06105,24.4,18.1,31.1
Tulare County,California,06107,28.2,24.3,32.6
Tuolumne County,California,06109,22.4,17.4,27.9
Ventura County,California,06111,21.0,18.3,23.9
Yolo County,California,06113,21.1,17.4,25.2
Yuba County,California,06115,27.4,21.9,33.4
US Diabetes Surveillance System; www.cdc.gov/diabetes/data; Division of Diabetes Translation - Centers for Disease Control and Prevention.
