FIPS,County,Population
6001,Alameda,1494876.0
6003,Alpine,1167.0
6005,Amador,38244.0
6007,Butte,219309.0
6009,Calaveras,45794.0
6011,Colusa,21297.0
6013,Contra Costa,1037817.0
6015,Del Norte,28561.0
6017,El Dorado,179878.0
6019,Fresno,920623.0
6021,Glenn,28027.0
6023,Humboldt,133585.0
6025,Imperial,171343.0
6027,Inyo,18457.0
6029,Kern,829254.0
6031,Kings,152335.0
6033,Lake,64392.0
6035,Lassen,35001.0
6037,Los Angeles,9787747.0
6039,Madera,149611.0
6041,Marin,250666.0
6043,Mariposa,18290.0
6045,Mendocino,87525.0
6047,Merced,253606.0
6049,Modoc,9587.0
6051,Mono,14016.0
6053,Monterey,411385.0
6055,Napa,135377.0
6057,Nevada,98392.0
6059,Orange,2989948.0
6061,Placer,343554.0
6063,Plumas,20192.0
6065,Riverside,2154844.0
6067,Sacramento,1408480.0
6069,San Benito,54873.0
6071,San Bernardino,2023452.0
6073,San Diego,3060849.0
6075,San Francisco,797983.0
6077,San Joaquin,680277.0
6079,San Luis Obispo,267871.0
6081,San Mateo,711622.0
6083,Santa Barbara,419793.0
6085,Santa Clara,1762754.0
6087,Santa Cruz,259402.0
6089,Shasta,177231.0
6091,Sierra,3277.0
6093,Siskiyou,44687.0
6095,Solano,411620.0
6097,Sonoma,478551.0
6099,Stanislaus,512469.0
6101,Sutter,94192.0
6103,Tehama,62985.0
6105,Trinity,13711.0
6107,Tulare,436234.0
6109,Tuolumne,55736.0
6111,Ventura,815745.0
6113,Yolo,198889.0
6115,Yuba,71817.0
